date;tt;td;dwd_tt;dwd_td;dwd_rf;dwd_fx;dwd_ff;dwd_n
2018-03-15 23:00:00;7.8;5.0;7.7;4.3;78;13.0;8.0;7
2018-03-15 22:00:00;8.1;5.0;8.0;3.9;75;18.0;12.0;7
2018-03-15 21:00:00;8.5;5.1;8.4;4.0;73;30.0;16.0;7
2018-03-15 20:00:00;6.9;4.6;8.5;3.0;68;20.0;12.0;7
2018-03-15 19:00:00;7.9;4.8;8.2;2.9;69;5.0;2.0;7
2018-03-15 18:00:00;8.9;5.0;8.4;3.6;71;15.0;10.0;7
2018-03-15 17:00:00;10.1;4.8;9.5;4.0;68;13.0;8.0;7
2018-03-15 16:00:00;9.9;4.4;9.4;3.5;66;18.0;8.0;7
2018-03-15 15:00:00;10.0;3.7;9.5;2.6;62;17.0;12.0;7
2018-03-15 14:00:00;10.0;3.2;9.4;2.2;60;35.0;23.0;7
2018-03-15 13:00:00;9.4;2.7;9.1;1.7;59;31.0;25.0;7
2018-03-15 12:00:00;9.3;2.8;9.6;1.8;58;30.0;20.0;7
2018-03-15 11:00:00;7.8;2.6;7.9;1.9;65;23.0;17.0;7
2018-03-15 10:00:00;6.5;2.4;6.4;1.9;72;28.0;22.0;7
2018-03-15 09:00:00;5.1;2.1;4.8;1.7;80;21.0;14.0;7
2018-03-15 08:00:00;3.8;2.0;3.4;1.4;86;22.0;15.0;7
2018-03-15 07:00:00;2.8;1.6;2.1;0.7;90;9.0;5.0;7
2018-03-15 06:00:00;0.9;0.5;1.2;0.2;92;15.0;9.0;7
2018-03-15 05:00:00;-1.2;-1.6;-0.2;-1.1;93;16.0;12.0;3
2018-03-15 04:00:00;-1.6;-2.0;0.4;-0.3;95;10.0;7.0;0
2018-03-15 03:00:00;-1.1;-1.8;0.2;-0.6;94;11.0;7.0;0
2018-03-15 02:00:00;-0.8;-1.6;0.5;-0.6;92;11.0;6.0;0
2018-03-15 01:00:00;0.0;-1.1;0.8;-1.1;87;9.0;6.0;0
2018-03-15 00:00:00;0.6;-0.6;1.5;-0.7;85;11.0;7.0;0
2018-03-14 23:00:00;1.0;-0.3;1.3;-0.7;86;13.0;10.0;0
2018-03-14 22:00:00;1.9;0.2;1.6;-0.8;83;13.0;9.0;0
2018-03-14 21:00:00;4.2;1.4;3.1;0.5;83;15.0;10.0;0
2018-03-14 20:00:00;3.6;1.3;4.0;0.6;78;18.0;13.0;0
2018-03-14 19:00:00;5.4;1.6;5.6;0.4;69;10.0;8.0;0
2018-03-14 18:00:00;7.2;1.7;6.2;0.8;68;15.0;11.0;0
2018-03-14 17:00:00;9.3;1.6;8.5;0.7;58;15.0;12.0;0
2018-03-14 16:00:00;10.5;1.4;9.7;0.6;53;17.0;12.0;1
2018-03-14 15:00:00;10.6;1.3;10.2;0.5;50;18.0;12.0;2
2018-03-14 14:00:00;10.4;1.1;9.5;0.4;53;8.0;4.0;4
2018-03-14 13:00:00;9.8;1.8;9.6;0.1;51;11.0;4.0;1
2018-03-14 12:00:00;9.5;1.4;9.0;0.7;56;9.0;5.0;2
2018-03-14 11:00:00;8.2;1.4;7.8;-0.1;57;11.0;5.0;5
2018-03-14 10:00:00;7.1;1.0;6.6;-0.5;60;15.0;8.0;6
2018-03-14 09:00:00;6.4;2.2;5.9;1.4;72;15.0;10.0;7
2018-03-14 08:00:00;5.4;2.9;5.1;2.0;80;11.0;7.0;7
2018-03-14 07:00:00;4.1;3.0;4.1;2.8;91;8.0;4.0;7
2018-03-14 06:00:00;4.1;2.7;3.3;1.5;88;9.0;6.0;8
2018-03-14 05:00:00;4.5;3.0;4.2;2.4;87;13.0;10.0;8
2018-03-14 04:00:00;4.7;3.2;4.4;2.3;85;15.0;12.0;8
2018-03-14 03:00:00;4.7;3.4;4.7;2.9;87;15.0;8.0;8
2018-03-14 02:00:00;4.7;3.6;4.4;2.7;88;9.0;6.0;8
2018-03-14 01:00:00;4.8;3.6;4.7;2.7;86;5.0;4.0;8
2018-03-14 00:00:00;4.7;3.5;4.6;2.8;88;9.0;5.0;8
2018-03-13 23:00:00;4.7;3.3;4.5;2.5;86;11.0;7.0;8
2018-03-13 22:00:00;4.8;3.4;4.6;2.9;88;22.0;17.0;8
2018-03-13 21:00:00;5.2;3.5;5.2;2.7;84;35.0;24.0;8
2018-03-13 20:00:00;5.8;4.1;5.6;3.3;85;30.0;21.0;8
2018-03-13 19:00:00;6.7;4.5;6.3;3.8;84;28.0;20.0;7
2018-03-13 18:00:00;7.3;4.4;6.9;3.1;76;30.0;20.0;7
2018-03-13 17:00:00;8.2;4.1;7.7;2.7;70;39.0;25.0;7
2018-03-13 16:00:00;8.5;4.2;8.1;2.7;68;32.0;19.0;7
2018-03-13 15:00:00;9.2;4.3;8.7;2.8;66;30.0;18.0;7
2018-03-13 14:00:00;9.2;4.2;8.9;2.9;66;39.0;22.0;7
2018-03-13 13:00:00;9.3;4.1;8.9;2.4;63;41.0;23.0;7
2018-03-13 12:00:00;9.5;4.4;9.2;3.1;65;35.0;19.0;7
2018-03-13 11:00:00;9.2;4.1;8.3;2.6;67;42.0;25.0;7
2018-03-13 10:00:00;8.7;4.0;8.0;2.4;67;40.0;23.0;7
